Year,Brand,Count
2022,Cervelo,1033
2022,Canyon,776
2022,Trek,614
2022,Specialized,378
2022,Felt,274
2022,Quintana Roo,265
2022,Argon 18,231
2022,Scott,224
2022,BMC,194
2022,Giant,154
2022,Cube,93
2022,Orbea,61
2022,Cannondale,60
2022,Liv,58
2022,Ceepo,52
2022,Ventum,46
2022,Dimond,45
2022,Pinarello,42
2022,Fuji,27
2022,Merida,19
2022,Wilier,19
2022,Parlee,18
2022,Kuota,17
2022,Ku,14
2022,Airstream,13
2022,Stevens,13
2022,Factor,13
2022,Look,12
2022,Guru,12
2022,Colnago,12
2022,Planet X,11
2022,Boardman,10
2022,Focus,10
2022,Blue,9
2022,Ridley,9
2022,Garneau,8
2022,Cipollini,6
2022,Kestrel,6
2022,Diamondback,4
2022,Squad,4
2019,Cervelo,489
2019,Trek,258
2019,Felt,190
2019,Specialized,184
2019,Canyon,179
2019,Quintana Roo,122
2019,Argon 18,117
2019,Scott,103
2019,Giant,84
2019,BMC,77
2019,Ceepo,65
2019,Cannondale,47
2019,Ventum,43
2019,Liv,32
2019,Dimond,24
2019,Cube,23
2019,Orbea,20
2019,Fuji,18
2019,BH,10
2019,Pinarello,9
2019,Simplon,9
2019,Look,9
2019,Ridley,9
2019,Airstream,9
2019,Wilier,8
2019,Kestrel,8
2019,Planet X,8
2019,Focus,8
2019,Parlee,7
2019,Factor,7
2019,Merida,7
2019,Stevens,6
2019,Kuota,5
2019,Boardmann,5
2019,Blue,5
2019,Storck,4
2019,Rose,4
2019,Guru,4
2019,Garneau,4
2019,Rose,4
2019,Colnago,4
2019,Litespeed,3
2019,Diamondback,3
2019,TriRig,2
2019,Premier,2
2019,Squad,2
2019,Anchor,2
2019,Cuierciotti,2
2019,DeRosa,2
2019,Pardus,2
2019,Sopta,2
2019,Jamis,1
2019,Epoca,1
2019,Aerocat,1
2019,Spinaro,1
2019,Pacer,1
2019,DEAD,1
2019,Isaac,1
2019,ADR,1
2019,Nodo,1
2019,Softride,1
2019,Java,1
2019,Kemo,1
2019,Pito,1
2019,Serotta,1
2019,Avacon,1
2019,Silverback,1
2019,Dolan,1
2019,Griffen,1
2019,Avanti,1
2019,Dolan,1
2019,Anderson,1
2018,Cervelo,487
2018,Trek,256
2018,Specialized,189
2018,Felt,185
2018,Canyon,130
2018,Argon 18,118
2018,Scott,110
2018,BMC,108
2018,Quintana Roo,97
2018,Giant,92
2018,Ceepo,70
2018,Cannondale,60
2018,Ventum,49
2018,Dimond,43
2018,Cube,29
2018,Wilier,18
2018,Fuji,18
2018,Kuota,16
2018,Merida,14
2018,BH,11
2018,Airstream,11
2018,Stevens,11
2018,Look,10
2018,Planet X,8
2018,Guru,8
2018,Focus,8
2018,Pinarello,7
2018,Parlee,7
2018,Kestrel,7
2018,Ridley,6
2018,Diamondback,5
2018,Blue,5
2018,Storck,5
2018,Simplon,5
2018,Boardmann,5
2018,Garneau,4
2018,Swift,3
2018,Jamis,3
2018,Avanti,3
2018,Litespeed,2
2018,Colnago,2
2018,Cipollini,2
2018,Premier,2
2018,Squad,2
2018,Neil Pryde,2
2018,Boma,2
2018,Avenger,2
2018,Merckz,1
2018,Beyond,1
2018,Wizz,1
2017,Cervelo,561
2017,Trek,261
2017,Specialized,216
2017,Felt,177
2017,Argon 18,146
2017,Canyon,102
2017,BMC,101
2017,Scott,100
2017,Giant,88
2017,Quintana Roo,84
2017,Ceepo,65
2017,Cannondale,64
2017,Ventum,37
2017,Fuji,37
2017,Dimond,31
2017,Orbea,28
2017,Kuota,23
2017,Look,15
2017,Cube,14
2017,Boardmann,13
2017,Planet X,13
2017,Parlee,12
2017,Kestrel,11
2017,Swift,11
2017,BH,10
2017,Focus,10
2017,Ridley,8
2017,Guru,8
2017,Diamondback,7
2017,Merida,7
2017,Airstream,7
2017,Louis Garneau,6
2017,Blue,6
2017,Rose,5
2017,Colnago,5
2017,Pinarello,4
2017,Stevens,4
2017,Litespeed,4
2017,Simplon,4
2017,Wilier,4
2017,Storck,3
2017,Jamis,3
2017,Avanti,3
2017,Cipollini,3
2017,Merckx,2
2017,Premier,2
2017,Griffen,2
2017,CDR,2
2017,Dolan,2
2017,Squad,1
2017,DeVinci,1
2017,Neil Pryde,1
2017,C14,1
2017,Silverback,1
2017,Boma,1
2017,Kaiser,1
2017,Dassi,1
2017,MMR,1
2017,Centurion,1
2017,Cyprion,1
2017,Beyond,1
2017,Avenger,1
2017,Ace,1
2017,Velenka,1
2017,Bianchi,1
2017,Valdora,1
2017,Tropix,1
2017,Elite,1
2017,Blackhawk,1
2017,Cupra,1
2017,Hongfu,1
2017,TNI,1
2017,Javelin,1
2017,Haibike,1
2017,Wolfbike,1
2017,Python,1
2017,Metia,1
2017,Featherlight,1
2017,Author,1
2017,Rafa,1
2017,KTM,1
2017,Curtio,1
2017,Titanos,1
2017,Redding,1
2017,Zannata,1
2017,Supra R,1
2017,Thompson,1
2017,Voss,1
2017,Marinoni,1
2017,CKT,1
2017,Cucuma,1
2017,Isaac,1
2017,Ribble,1
2017,Corratec,1
2017,Alle Bike,1
2017,Bottechia,1
2017,Everest,1
2017,Maystrom,1
2017,Lynskey,1
2017,Eternity,1
2017,DeRosa,1
2017,Victorie,1
2017,Beacon,1
2017,Time,1
2017,DT,1
2017,Motobecane,1
2017,Misc/Unbranded,11
2016,Cervelo,577
2016,Trek,261
2016,Specialized,209
2016,Felt,139
2016,Argon 18,106
2016,Scott,106
2016,BMC,100
2016,Quintana Roo,89
2016,Cannondale,80
2016,Giant,70
2016,Ceepo,59
2016,Dimond,47
2016,Canyon,39
2016,Fuji,27
2016,Orbea,25
2016,Kuota,25
2016,Ventum,22
2016,Planet X,18
2016,Boardmann,17
2016,Stevens,16
2016,Cube,12
2016,BH,12
2016,Look,12
2016,Parlee,11
2016,Garneau,9
2016,Pinarello,8
2016,Focus,8
2016,Swift,8
2016,Guru,7
2016,Simplon,7
2016,Merida,6
2016,Blue,6
2016,Airstream,6
2016,Litespeed,5
2016,Wilier,5
2016,Storck,4
2016,Bianchi,4
2016,Isaac,3
2016,Cucuma,3
2016,Ridley,2
2016,Neil Pryde,2
2016,Teschner,2
2016,Diamondback,2
2016,Masi,2
2016,Corratec,1
2016,Jamis,1
2016,Cheetah,1
2016,Valdora,1
2016,Dalkai,1
2016,DaVinci,1
2016,Time,1
2016,Griffen,1
2016,Coure,1
2016,Freespeed,1
2016,Apex,1
2016,Avanti,1
2016,Basso,1
2016,Beyond,1
2016,Haibike,1
2016,Merlin,1
2016,Marinoni,1
2016,Razor,1
2016,Maehlon,1
2016,Klein,1
2016,KTM,1
2016,GBR,1
2016,Ribble,1
2016,Squad,1
2016,Starley,1
2016,Skorn,1
2016,Sarto,1
2016,Titanos,1
2016,S-Light,1
2016,Scrane,1
2016,GRADE9,1
2015,Cervelo,522
2015,Trek,275
2015,Specialized,218
2015,Felt,153
2015,Argon 18,101
2015,BMC,93
2015,Scott,88
2015,Quintana Roo,81
2015,Cannondale,76
2015,Ceepo,74
2015,Giant,54
2015,Canyon,51
2015,Dimond,33
2015,Orbea,31
2015,Kuota,28
2015,Fuji,23
2015,Kestrel,22
2015,Planet X,21
2015,Guru,20
2015,Look,15
2015,Boardmann,14
2015,Cube,13
2015,Merida,13
2015,Ridley,11
2015,Blue,11
2015,Parlee,11
2015,Pinarello,10
2015,Serotta,10
2015,Focus,9
2015,Falco,7
2015,Garneau,7
2015,Wilier,7
2015,Boma,5
2015,Ventum,4
2015,Litespeed,4
2015,Isaac,4
2015,Corratec,4
2015,BH,4
2015,Colnago,4
2015,Stevens,3
2015,Jamis,3
2015,Neil Pryde,3
2015,Storck,3
2015,Cheetah,2
2015,Javelin,2
2015,Author,2
2015,Azzurri,2
2015,Diamondback,2
2015,Simplon,2
2015,Softride,2
2015,Dolan,2
2015,Rose,2
2015,Valdora,1
2015,Aegis,1
2015,Beyond,1
2015,Airstream,1
2015,Alchemy,1
2015,Carrera,1
2015,Cipollini,1
2015,Colner,1
2015,Columbus,1
2015,Cucuma,1
2015,Dalkai,1
2015,DaVinci,1
2015,Swift,1
2015,Teschner,1
2015,Time,1
2015,Russ Denny,1
2015,Feska,1
2015,Anatomic,1
2015,Bottecchia,1
2015,BFour,1
2015,Pearson,1
2015,Oppy,1
2015,Merckx,1
2015,Lynskey,1
2015,Grigio,1
2015,Griffin,1
2015,Gios,1
2015,Wave,1
2015,Calfee,1
2014,Cervelo,490
2014,Trek,260
2014,Specialized,209
2014,Felt,129
2014,Quintana Roo,76
2014,BMC,76
2014,Cannondale,72
2014,Ceepo,72
2014,Giant,68
2014,Scott,66
2014,Argon 18,18
2014,Orbea,47
2014,Kuota,24
2014,Canyon,24
2014,Planet,22
2014,Dimond,21
2014,Fuji,20
2014,Kestrel,18
2014,Guru,18
2014,Look,14
2014,Blue,13
2014,Wilier,12
2014,Pinarello,11
2014,Focus,10
2014,Cube,9
2014,Stevens,9
2014,BH,8
2014,Merida,7
2014,Litespeed,7
2014,Boardman,7
2014,Ridley,6
2014,Serotta,6
2014,Avanti,5
2014,Simplon,4
2014,Storck,4
2014,Colnago,4
2014,Falco,4
2014,Isaac,4
2014,Louis,4
2014,Valdora,4
2014,Teschner,4
2014,Chetah,3
2014,Javelin,3
2014,Bianchi,3
2014,Seven,3
2014,Swift,3
2014,Author,2
2014,Apollo,2
2014,Elite,2
2014,Voss,2
2014,Azzurri,2
2014,Fezzari,2
2014,Parlee,2
2014,Dolan,1
2014,Griffin,1
2014,Jamis,1
2014,Gir,1
2014,Vitus,1
2014,Scatante,1
2014,Cucuma,1
2014,Devinci,1
2014,Calfee,1
2014,Airstream,1
2014,Blackhawk,1
2014,Beyond,1
2014,Lynskey,1
2014,Renovo,1
2014,Principia,1
2014,Salsa,1
2013,Cervelo,488
2013,Trek,220
2013,Specialized,209
2013,Felt,115
2013,Scott,91
2013,Quintana Roo,80
2013,Cannondale,79
2013,Argon 18,72
2013,BMC,68
2013,Giant,66
2013,Kuota,53
2013,Ceepo,52
2013,Orbea,42
2013,Kestrel,39
2013,Look,26
2013,Guru,23
2013,Canyon,18
2013,Stevens,17
2013,Fuji,16
2013,Planet X,16
2013,Wilier,13
2013,Blue,11
2013,Avanti,11
2013,Swift,11
2013,Boardman,10
2013,Parlee,10
2013,Serotta,9
2013,Cube,9
2013,Simplon,9
2013,Ridley,8
2013,Colnago,7
2013,Cucuma,6
2013,Merida,6
2013,Focus,5
2013,BH,5
2013,Airstream,5
2013,Pinarello,5
2013,Litespeed,5
2013,Azzurri,5
2013,Louis Garneau,4
2013,Storck,4
2013,Isaac,4
2013,Beyond,4
2013,Author,3
2013,Jamis,3
2013,Devinci,3
2013,Carrera,2
2013,Scrane,2
2013,Blackhawk,2
2013,Cheetah,2
2013,Calfee,2
2013,Principia,2
2013,Cycpro,2
2013,Neil Pryde,2
2013,Turbo,2
2013,Time,2
2013,Apollo,2
2013,Teschner,1
2013,DeRosa,1
2013,Elite,1
2013,Griffin,1
2013,Merlin,1
2013,Seven,1
2013,Gios,1
2013,Softride,1
2013,Masi,1
2013,Pearson,1
2013,Stocki,1
2013,Alchemy,1
2013,Attack,1
2013,Butler,1
2013,C-level,1
2013,Dalkai,1
2013,Haibike,1
2013,Corratec,1
2013,Oppy,1
2013,Basso,1
2013,Tagglia,1
2013,Tomaso,1
2013,Centurion,1
2013,Vinel,1
2013,Dedaccai,1
2013,First,1
2013,Ribble,1
2013,Grigio,1
2013,Erox,1
2013,Chaka,1
2013,Merckx,1
2013,DBR,1
2013,SUP,1
2013,Cell,1
2013,Nakamura,1
2012,Cervelo,483
2012,Trek,211
2012,Specialized,170
2012,Felt,115
2012,Scott,92
2012,Cannondale,86
2012,Quintana Roo,78
2012,Argon 18,71
2012,Giant,64
2012,Kestrel,46
2012,Orbea,43
2012,Kuota,42
2012,Ceepo,37
2012,BMC,33
2012,Look,31
2012,Guru,28
2012,Blue,27
2012,Fuji,21
2012,Ridley,17
2012,Cube,17
2012,PlanetX,16
2012,Litespeed,11
2012,Willier,11
2012,Storck,10
2012,Serotta,9
2012,Pinarello,8
2012,Parlee,8
2012,Canyon,6
2012,Colnago,6
2012,Stevens,6
2012,Elite,6
2012,Griffin,5
2012,BH,5
2012,Seven,5
2012,Teschner,5
2012,Beyond,4
2012,Isaac,3
2012,Calfee,3
2012,Louis,3
2012,Jamis,2
2012,Cheetah,2
2012,Time,2
2012,Principia,1
2012,Bianchi,1
2012,Merlin,1
2012,Softride,1
2012,Aegis,1
2012,DeRosa,1
2012,Lemond,1